,path,prediction
183,D:/CS4243_miniproj/captcha_img/test\pz5063uh-0.png,jiiiiili
184,D:/CS4243_miniproj/captcha_img/test\gatwbcv-0.png,liiiiii
185,D:/CS4243_miniproj/captcha_img/test\mrmth-0.png,iiiji
186,D:/CS4243_miniproj/captcha_img/test\kfh76-0.png,liivi
187,D:/CS4243_miniproj/captcha_img/test\slhq5bp-0.png,iui1iii
188,D:/CS4243_miniproj/captcha_img/test\k4vst-0.png,iliil
189,D:/CS4243_miniproj/captcha_img/test\m5cg7n-0.png,iliili
190,D:/CS4243_miniproj/captcha_img/test\3v1p-0.png,iiil
191,D:/CS4243_miniproj/captcha_img/test\jirj-0.png,ij1liii
192,D:/CS4243_miniproj/captcha_img/test\1ctc5l-0.png,iii
193,D:/CS4243_miniproj/captcha_img/test\l057d-0.png,iilii
194,D:/CS4243_miniproj/captcha_img/test\6s82khq-0.png,i1iili1
195,D:/CS4243_miniproj/captcha_img/test\q2lcl1y-0.png,liii1ii
196,D:/CS4243_miniproj/captcha_img/test\0nq0e-0.png,lv1ii
197,D:/CS4243_miniproj/captcha_img/test\7gdnfemv-0.png,il1iiiil
198,D:/CS4243_miniproj/captcha_img/test\4gbj3dq-0.png,iuiiilll
199,D:/CS4243_miniproj/captcha_img/test\oz6u3-0.png,1iiii
200,D:/CS4243_miniproj/captcha_img/test\mz1f-0.png,liil
201,D:/CS4243_miniproj/captcha_img/test\o4hmd0vy-0.png,iiiclici
202,D:/CS4243_miniproj/captcha_img/test\x46yxn7q-0.png,j1liilli
203,D:/CS4243_miniproj/captcha_img/test\93tlh-0.png,iilili
204,D:/CS4243_miniproj/captcha_img/test\1c3bi3zm-0.png,lcii1i1i
205,D:/CS4243_miniproj/captcha_img/test\6tp0xi-0.png,ljiiii
206,D:/CS4243_miniproj/captcha_img/test\yrrc-0.png,iii1
207,D:/CS4243_miniproj/captcha_img/test\66qv60-0.png,liiiil
208,D:/CS4243_miniproj/captcha_img/test\1mwa-0.png,iiii
209,D:/CS4243_miniproj/captcha_img/test\a3lb-0.png,iivi
210,D:/CS4243_miniproj/captcha_img/test\33yxl-0.png,iiili
211,D:/CS4243_miniproj/captcha_img/test\xx8ncv-0.png,iill
212,D:/CS4243_miniproj/captcha_img/test\zqdfto-0.png,i11iii
213,D:/CS4243_miniproj/captcha_img/test\w1h7h3-0.png,iiijil
214,D:/CS4243_miniproj/captcha_img/test\pssgydfm-0.png,lliliil
215,D:/CS4243_miniproj/captcha_img/test\uby5m2a-0.png,iili1li
216,D:/CS4243_miniproj/captcha_img/test\3vslm-0.png,iijii
217,D:/CS4243_miniproj/captcha_img/test\ilq9a-0.png,liiili
218,D:/CS4243_miniproj/captcha_img/test\w6nxw1h-0.png,iiijiii
219,D:/CS4243_miniproj/captcha_img/test\a6d6ejh-0.png,iiiiijji
220,D:/CS4243_miniproj/captcha_img/test\by0nq5-0.png,ii1i1ii
221,D:/CS4243_miniproj/captcha_img/test\gwbjep-0.png,li1iii
222,D:/CS4243_miniproj/captcha_img/test\dooeac1-0.png,liiiii1
223,D:/CS4243_miniproj/captcha_img/test\czffkx6k-0.png,viiliiii
224,D:/CS4243_miniproj/captcha_img/test\i3vv4b7-0.png,lllilii1i
225,D:/CS4243_miniproj/captcha_img/test\0al4pl-0.png,iiilllii
226,D:/CS4243_miniproj/captcha_img/test\80xo-0.png,iii1
227,D:/CS4243_miniproj/captcha_img/test\5ry4908-0.png,lljlii1
228,D:/CS4243_miniproj/captcha_img/test\0me2a-0.png,iiili
229,D:/CS4243_miniproj/captcha_img/test\a0sp1ytr-0.png,i1iiiiil
230,D:/CS4243_miniproj/captcha_img/test\hvk6-0.png,1lil
231,D:/CS4243_miniproj/captcha_img/test\snmbq-0.png,ii1ii
232,D:/CS4243_miniproj/captcha_img/test\qgdi29qt-0.png,iiiiilil
233,D:/CS4243_miniproj/captcha_img/test\7qbyo-0.png,liiiii1lii
234,D:/CS4243_miniproj/captcha_img/test\gjj6pj-0.png,i
235,D:/CS4243_miniproj/captcha_img/test\4lg11-0.png,lilii
236,D:/CS4243_miniproj/captcha_img/test\wa4k6-0.png,1il1ii
237,D:/CS4243_miniproj/captcha_img/test\78l9-0.png,ijli
238,D:/CS4243_miniproj/captcha_img/test\8w853lv-0.png,iiiliii
239,D:/CS4243_miniproj/captcha_img/test\2qhqtv2-0.png,iiliiil
240,D:/CS4243_miniproj/captcha_img/test\2zkfhs1n-0.png,liiiiii1
241,D:/CS4243_miniproj/captcha_img/test\dhol0-0.png,iiiili
242,D:/CS4243_miniproj/captcha_img/test\tyi9zcn-0.png,ililiill
243,D:/CS4243_miniproj/captcha_img/test\ykhc0-0.png,iiiii
244,D:/CS4243_miniproj/captcha_img/test\797v-0.png,iilii
245,D:/CS4243_miniproj/captcha_img/test\v4ua-0.png,llii
246,D:/CS4243_miniproj/captcha_img/test\08otejfi-0.png,iiliiili
247,D:/CS4243_miniproj/captcha_img/test\2ybig03-0.png,ilivliiii
248,D:/CS4243_miniproj/captcha_img/test\rzq5bynz-0.png,lliclilii
249,D:/CS4243_miniproj/captcha_img/test\b4gvghd-0.png,iiiiiii
250,D:/CS4243_miniproj/captcha_img/test\w8co-0.png,1ill
251,D:/CS4243_miniproj/captcha_img/test\5unrn-0.png,iilil
252,D:/CS4243_miniproj/captcha_img/test\vjcod9-0.png,lilii
253,D:/CS4243_miniproj/captcha_img/test\3sfzj-0.png,iiii1i
254,D:/CS4243_miniproj/captcha_img/test\n7tp-0.png,iiii
255,D:/CS4243_miniproj/captcha_img/test\wnhjh-0.png,i11ii
256,D:/CS4243_miniproj/captcha_img/test\acukt0vo-0.png,iiiililii
257,D:/CS4243_miniproj/captcha_img/test\vcz077-0.png,iiilii
258,D:/CS4243_miniproj/captcha_img/test\irl9u9xz-0.png,riiiiilii
259,D:/CS4243_miniproj/captcha_img/test\9o9vjrf-0.png,rli1i1il
260,D:/CS4243_miniproj/captcha_img/test\2yjoie-0.png,iil1il
261,D:/CS4243_miniproj/captcha_img/test\63xk-0.png,ilii
262,D:/CS4243_miniproj/captcha_img/test\79ioqkt-0.png,ii11lcii
263,D:/CS4243_miniproj/captcha_img/test\4esp-0.png,i1ivi
264,D:/CS4243_miniproj/captcha_img/test\kvop4si-0.png,iiiiicll
265,D:/CS4243_miniproj/captcha_img/test\n9q3-0.png,li1i
266,D:/CS4243_miniproj/captcha_img/test\aybws-0.png,1ii1v
267,D:/CS4243_miniproj/captcha_img/test\ootptmf-0.png,iiill
268,D:/CS4243_miniproj/captcha_img/test\jnla9fy4-0.png,iililiiii
269,D:/CS4243_miniproj/captcha_img/test\7d02g-0.png,il1vi
270,D:/CS4243_miniproj/captcha_img/test\stiep3-0.png,1iviii
271,D:/CS4243_miniproj/captcha_img/test\905i4de-0.png,iiiliiil
272,D:/CS4243_miniproj/captcha_img/test\kxvy5v-0.png,iiiili
273,D:/CS4243_miniproj/captcha_img/test\r1od-0.png,iiii
274,D:/CS4243_miniproj/captcha_img/test\mubcp-0.png,ilii
275,D:/CS4243_miniproj/captcha_img/test\wff13mpg-0.png,1ji1lii1
276,D:/CS4243_miniproj/captcha_img/test\uewr-0.png,1uil
277,D:/CS4243_miniproj/captcha_img/test\f1r4t-0.png,i11li
278,D:/CS4243_miniproj/captcha_img/test\5ipve-0.png,illii
279,D:/CS4243_miniproj/captcha_img/test\m4ztqk-0.png,iiilii
280,D:/CS4243_miniproj/captcha_img/test\c5ibod-0.png,1iiill
281,D:/CS4243_miniproj/captcha_img/test\4sotv-0.png,li1ii
282,D:/CS4243_miniproj/captcha_img/test\5gnom-0.png,ii1jl
283,D:/CS4243_miniproj/captcha_img/test\io8w8-0.png,ili1ii
284,D:/CS4243_miniproj/captcha_img/test\vhrnb-0.png,iiiili
285,D:/CS4243_miniproj/captcha_img/test\9a8w-0.png,liil
286,D:/CS4243_miniproj/captcha_img/test\z5k4-0.png,ilii
287,D:/CS4243_miniproj/captcha_img/test\awsb9x-0.png,uil1ii
288,D:/CS4243_miniproj/captcha_img/test\6ud6o-0.png,ilill
289,D:/CS4243_miniproj/captcha_img/test\xg4n0dgq-0.png,ii1i1li1
290,D:/CS4243_miniproj/captcha_img/test\fazgm-0.png,ii1ii
291,D:/CS4243_miniproj/captcha_img/test\3fv5o-0.png,1liji
292,D:/CS4243_miniproj/captcha_img/test\aotaaj-0.png,1iiiiii
293,D:/CS4243_miniproj/captcha_img/test\dlsvh5cr-0.png,i1lill1i1i
294,D:/CS4243_miniproj/captcha_img/test\153tt0-0.png,i1ij
295,D:/CS4243_miniproj/captcha_img/test\989gqi-0.png,iiiciliiiili
296,D:/CS4243_miniproj/captcha_img/test\1nyd-0.png,1iii
297,D:/CS4243_miniproj/captcha_img/test\3ho9-0.png,ilii
298,D:/CS4243_miniproj/captcha_img/test\f149-0.png,iiii
299,D:/CS4243_miniproj/captcha_img/test\aettyxdl-0.png,viiiiiii
300,D:/CS4243_miniproj/captcha_img/test\i9dhn60-0.png,iiiliii
301,D:/CS4243_miniproj/captcha_img/test\aova-0.png,i11i
302,D:/CS4243_miniproj/captcha_img/test\m6mdx9lt-0.png,i1ii
303,D:/CS4243_miniproj/captcha_img/test\k430v-0.png,iilli
304,D:/CS4243_miniproj/captcha_img/test\4bsoa-0.png,llvli
305,D:/CS4243_miniproj/captcha_img/test\p13ix-0.png,iiiuiil
306,D:/CS4243_miniproj/captcha_img/test\o707-0.png,iili
307,D:/CS4243_miniproj/captcha_img/test\vr1n847a-0.png,vi1ijiiil
308,D:/CS4243_miniproj/captcha_img/test\god2llyl-0.png,iiilliiiii
309,D:/CS4243_miniproj/captcha_img/test\n7xb-0.png,iuvi
310,D:/CS4243_miniproj/captcha_img/test\4dbe-0.png,ii1i
311,D:/CS4243_miniproj/captcha_img/test\z5bm2-0.png,jil1i
312,D:/CS4243_miniproj/captcha_img/test\iazoykf-0.png,ii1iiiiill
313,D:/CS4243_miniproj/captcha_img/test\kfvj0f1-0.png,illiiil
314,D:/CS4243_miniproj/captcha_img/test\7zhp-0.png,ii1l
315,D:/CS4243_miniproj/captcha_img/test\wspku-0.png,i1i1l
316,D:/CS4243_miniproj/captcha_img/test\dm6ocdl-0.png,iililii
317,D:/CS4243_miniproj/captcha_img/test\na3ys44w-0.png,iiiiiiii
318,D:/CS4243_miniproj/captcha_img/test\hc8jk3-0.png,lilll
319,D:/CS4243_miniproj/captcha_img/test\7i1o5e3-0.png,iiilij1i
320,D:/CS4243_miniproj/captcha_img/test\k0j12hf-0.png,iiiii1i
321,D:/CS4243_miniproj/captcha_img/test\bpqy-0.png,lii1
322,D:/CS4243_miniproj/captcha_img/test\r3yn-0.png,iii1
323,D:/CS4243_miniproj/captcha_img/test\infph-0.png,i1iji
324,D:/CS4243_miniproj/captcha_img/test\5oqszg-0.png,iilii1
325,D:/CS4243_miniproj/captcha_img/test\kzsv-0.png,liji
326,D:/CS4243_miniproj/captcha_img/test\inrjbf6-0.png,iiiliil
327,D:/CS4243_miniproj/captcha_img/test\oeol-0.png,iiii
328,D:/CS4243_miniproj/captcha_img/test\w14ekvmu-0.png,1iiii1ji
329,D:/CS4243_miniproj/captcha_img/test\nqz0os9h-0.png,l1iiuiii
330,D:/CS4243_miniproj/captcha_img/test\qm8sdjay-0.png,iiiiijl1ii
331,D:/CS4243_miniproj/captcha_img/test\um2ncoly-0.png,iiiiliii
332,D:/CS4243_miniproj/captcha_img/test\kjlcndko-0.png,iiiiliii
333,D:/CS4243_miniproj/captcha_img/test\ahpho-0.png,i1lii
334,D:/CS4243_miniproj/captcha_img/test\eyq05-0.png,il
335,D:/CS4243_miniproj/captcha_img/test\fgww-0.png,iii1
336,D:/CS4243_miniproj/captcha_img/test\upkljb-0.png,iii1l1ili
337,D:/CS4243_miniproj/captcha_img/test\x5jeo-0.png,illii
338,D:/CS4243_miniproj/captcha_img/test\ota71h92-0.png,iiiiici
339,D:/CS4243_miniproj/captcha_img/test\b3okru3-0.png,liii1ii
340,D:/CS4243_miniproj/captcha_img/test\dj8w71-0.png,j1li1i
341,D:/CS4243_miniproj/captcha_img/test\5wqfn9sb-0.png,iii
342,D:/CS4243_miniproj/captcha_img/test\mj357n-0.png,iilil1
343,D:/CS4243_miniproj/captcha_img/test\hsnd7hq-0.png,ciiliii
344,D:/CS4243_miniproj/captcha_img/test\88do-0.png,cjil
345,D:/CS4243_miniproj/captcha_img/test\3y9sdh-0.png,llliji
346,D:/CS4243_miniproj/captcha_img/test\jwdpa-0.png,ilii1i
347,D:/CS4243_miniproj/captcha_img/test\ab3t-0.png,iiii
348,D:/CS4243_miniproj/captcha_img/test\ws6w-0.png,iiiil1
349,D:/CS4243_miniproj/captcha_img/test\8954-0.png,ii1i
350,D:/CS4243_miniproj/captcha_img/test\lgk7dl-0.png,iliiui
351,D:/CS4243_miniproj/captcha_img/test\m52xx5-0.png,iiliii
352,D:/CS4243_miniproj/captcha_img/test\p45r8m7-0.png,iiiliii
353,D:/CS4243_miniproj/captcha_img/test\q71wa-0.png,liili
354,D:/CS4243_miniproj/captcha_img/test\maxxg-0.png,iliii
355,D:/CS4243_miniproj/captcha_img/test\it99jw8-0.png,iiiiiiiii
356,D:/CS4243_miniproj/captcha_img/test\n8dz4i-0.png,iiiiil
357,D:/CS4243_miniproj/captcha_img/test\hm5osaq-0.png,il1ilil
358,D:/CS4243_miniproj/captcha_img/test\oulos91y-0.png,il1lii1
359,D:/CS4243_miniproj/captcha_img/test\ss3g4-0.png,iil1i
360,D:/CS4243_miniproj/captcha_img/test\vq2rlsh-0.png,lliilli
361,D:/CS4243_miniproj/captcha_img/test\n1gmmpy-0.png,liiiiii
362,D:/CS4243_miniproj/captcha_img/test\jo9x-0.png,iuil
